project_type,key_questions
web_app,"SPA or MPA?;Browser support?;SEO needed?;Real-time features?;Accessibility level?"
mobile_app,"Native or cross-platform?;Offline needed?;Push notifications?;Device features?;Store compliance?"
desktop_app,"Cross-platform?;Auto-update?;System integration?;Offline capability?"
api_service,"Endpoints needed?;Authentication method?;Data formats?;Rate limits?;Versioning?"
cli_tool,"Interactive or scriptable?;Output formats?;Config method?;Shell completion?"
library_sdk,"Language support?;Package managers?;Documentation format?;Examples needed?"
data_pipeline,"Data sources?;Batch or streaming?;Transform complexity?;Output destinations?;Scheduling?"
ml_service,"Model type?;Training data source?;Inference latency?;Model versioning?;Monitoring?"
infrastructure,"Cloud provider?;Multi-region?;Compliance?;DR requirements?;Cost constraints?"
microservices,"Service boundaries?;Communication pattern?;Service discovery?;Shared data?;Deployment strategy?"
plugin_extension,"Host application?;Extension points?;Sandboxing?;Distribution?;Versioning?"
full_stack,"Frontend framework?;Backend framework?;Database?;Auth strategy?;Deployment?"
prototype_mvp,"Core hypothesis to test?;Throwaway or evolve?;User testing method?;Success criteria?"
