product_category,framework_options,db_options,test_options,build_tool_options
web_app,"Next.js,Remix,SvelteKit","PostgreSQL,MySQL,SQLite","Vitest,Jest,Playwright","Vite,Webpack"
api_service,"NestJS,Fastify,FastAPI,Django","PostgreSQL,MySQL,MongoDB","Jest,Vitest,Pytest","esbuild,tsc,uvicorn"
cli_tool,"Commander,oclif,Click,Typer","SQLite,None","Jest,Vitest,Pytest","esbuild,tsc,pyinstaller"
library,"tsup,unbuild,setuptools","None","Vitest,Jest,Pytest","tsup,rollup,setuptools"
desktop_app,"Electron,Tauri,Flutter","SQLite,IndexedDB","Vitest,Jest","Vite,Webpack"
mobile_app,"React Native,Expo,Flutter","SQLite,Realm","Jest,Detox","Metro,Gradle"
full_stack,"T3 App,RedwoodJS,Next.js+tRPC","PostgreSQL,MySQL","Vitest,Jest,Playwright","Vite,Turbopack"
data_pipeline,"Apache Airflow,Prefect,Dagster,Luigi","PostgreSQL,ClickHouse,DuckDB","Pytest,Great Expectations","setuptools,uv"
ml_model_service,"FastAPI+MLflow,BentoML,Ray Serve,TorchServe","PostgreSQL,Redis,None","Pytest,locust","setuptools,uv,docker"
infrastructure_iac,"Terraform,Pulumi,CDK,Ansible","None","Pytest,terratest,checkov","make,taskfile"
microservices,"NestJS,FastAPI,Go kit,Spring Boot","PostgreSQL,MongoDB,Redis","Jest,Pytest,Go test","docker-compose,skaffold,tilt"
plugin_extension,"VS Code Extension API,Chrome Extension,Webpack Module Federation","SQLite,None","Vitest,Jest,Pytest","esbuild,webpack,vite"
prototype_mvp,"Next.js,Streamlit,Flask,Express","SQLite,PostgreSQL","Vitest,Jest,Pytest","Vite,esbuild"
